Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (1 epoch = 11717 batches, ~46868 grad updates @ inner_steps=4)...
step 12800/46868 | loss 0.6337 | lr 2.54e-04 | t 927s
step 12900/46868 | loss 0.5635 | lr 2.53e-04 | t 934s
step 13000/46868 | loss 0.5615 | lr 2.52e-04 | t 941s
step 13100/46868 | loss 0.4683 | lr 2.52e-04 | t 948s
step 13200/46868 | loss 0.4287 | lr 2.51e-04 | t 956s
step 13300/46868 | loss 0.7102 | lr 2.50e-04 | t 963s
step 13400/46868 | loss 0.7018 | lr 2.50e-04 | t 970s
step 13500/46868 | loss 0.5616 | lr 2.49e-04 | t 977s
step 13600/46868 | loss 0.4488 | lr 2.48e-04 | t 984s
step 13700/46868 | loss 0.4753 | lr 2.47e-04 | t 992s
step 13800/46868 | loss 0.4097 | lr 2.47e-04 | t 999s
step 13900/46868 | loss 0.5777 | lr 2.46e-04 | t 1006s
step 14000/46868 | loss 0.3903 | lr 2.45e-04 | t 1013s
step 14100/46868 | loss 0.6852 | lr 2.45e-04 | t 1020s
step 14200/46868 | loss 0.3729 | lr 2.44e-04 | t 1027s
step 14300/46868 | loss 0.4576 | lr 2.43e-04 | t 1035s
step 14400/46868 | loss 0.3802 | lr 2.42e-04 | t 1042s
step 14500/46868 | loss 0.5731 | lr 2.42e-04 | t 1049s
step 14600/46868 | loss 0.4844 | lr 2.41e-04 | t 1056s
step 14700/46868 | loss 0.5069 | lr 2.40e-04 | t 1063s
step 14800/46868 | loss 0.4995 | lr 2.39e-04 | t 1070s
step 14900/46868 | loss 0.5445 | lr 2.39e-04 | t 1078s
step 15000/46868 | loss 0.4140 | lr 2.38e-04 | t 1085s
step 15100/46868 | loss 0.4921 | lr 2.37e-04 | t 1092s
step 15200/46868 | loss 0.4935 | lr 2.36e-04 | t 1099s
step 15300/46868 | loss 0.3652 | lr 2.36e-04 | t 1107s
step 15400/46868 | loss 0.4188 | lr 2.35e-04 | t 1114s
step 15500/46868 | loss 0.3971 | lr 2.34e-04 | t 1121s
step 15600/46868 | loss 0.5722 | lr 2.33e-04 | t 1128s
step 15700/46868 | loss 0.4130 | lr 2.32e-04 | t 1136s
